FacilityID,QInscfsAdj,QInsCFAdj,Q_DailyavgCF,AVGDISCHARGE,JURISDICTI,SAMPLEDRY,PERSISTENTFLOW,JURISDICTI3,PERCENTAGE,area_acres,AREA,DischargePCF2,DischargePCF3,avgCnx,dry_days,Qadj_Qall
L02-571-5 (L02TBN2),NA,NA,-0.99,0,SAN JUAN CAPISTRANO,NA,Unknown,SAN JUAN CAPISTRANO,74.1886223,220.78861654,163.8001776,NA,0,1,313,0
M01-008-1,NA,NA,-0.99,0,SAN CLEMENTE,NA,Unknown,SAN CLEMENTE,100,NA,NA,NA,0,1,313,0
L01-748-2,NA,NA,-0.99,0,SAN JUAN CAPISTRANO,NA,Yes,SAN JUAN CAPISTRANO,100,NA,NA,NA,0,0.77,313,0
DP01-12022-1,0.03821358,3301.6533119999995,465.0048,0.055382,DANA POINT,NA,Yes,DANA POINT,100,NA,NA,465.00479999999993,465.00479999999993,1,319,148336.53119999997
DP04-12015-1,0.006944849999999999,600.0350399999999,869.616,0.010065,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,65.93698008,178.90214373,117.9627752,573.3985286924927,573.3985286924927,0,318,0
DP04-12015-1,0.006944849999999999,600.0350399999999,869.616,0.010065,LAGUNA BEACH,NA,Unknown,LAGUNA NIGUEL,33.93511159,178.90214373,60.71069578,295.1051600044944,295.1051600044944,0,318,0
DP04-12015-1,0.006944849999999999,600.0350399999999,869.616,0.010065,LAGUNA BEACH,NA,Unknown,ORANGE CO,0.127907549,178.90214373,0.22882955,1.1123045113118402,1.1123045113118402,0,318,0
I00-11518-2,0.0033119999999999994,286.1568,414.7199999999999,0.0048,LAGUNA BEACH,NA,Yes,LAGUNA BEACH,100,NA,NA,414.7199999999999,414.7199999999999,0.885,318,116714.64959999998
I01-11023-1,0.0014869499999999997,128.47247999999996,186.192,0.002155,LAGUNA BEACH,1,Yes,LAGUNA BEACH,33.40107474,4.24010907,1.41624325,62.1901290799008,62.1901290799008,0.9233333333333333,318,18260.265700440472
I01-11023-1,0.0014869499999999997,128.47247999999996,186.192,0.002155,LAGUNA BEACH,1,Yes,ORANGE CO,66.59891828,4.24010907,2.823869268,124.00185792389762,124.00185792389762,0.9233333333333333,318,36409.42552361482
J01-9005-3,0.20960405999999998,18109.790783999997,72057.6,0.303774,LAGUNA NIGUEL,NA,Yes,LAGUNA HILLS,1.384801424,201.89063791,2.7957869,997.854670900224,997.854670900224,1,323,322307.05870077235
J01-9005-3,0.20960405999999998,18109.790783999997,72057.6,0.303774,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,98.6151983,201.89063791,199.0950289,71059.7451302208,71059.7451302208,1,323,22952297.67706132
J01-9031-1,0.025644539999999997,2215.688256,3211.1423999999997,0.037166,LAKE FOREST,1,Unknown,LAKE FOREST,91.74566749,298.95942316,274.2825608,2946.0840289344055,2946.0840289344055,0.5,291,428655.226209956
J01-9066-2 (J01P03),0.06153213,5316.376031999999,8828.568000000001,0.089177,MISSION VIEJO,NA,Yes,LAKE FOREST,0.818376545,420.34930926,3.440043196,72.25092977137561,72.25092977137561,1,309,22325.537299355063
J01-9066-2 (J01P03),0.06153213,5316.376031999999,8828.568000000001,0.089177,MISSION VIEJO,NA,Yes,MISSION VIEJO,99.18162349,420.34930926,416.9096378,8756.317073318625,8756.317073318625,1,309,2705701.975655455
J01-9224-2 (J01P25),0.06698727,5787.7001279999995,1132.7039999999997,0.097083,LAGUNA NIGUEL,1,Yes,ALISO VIEJO,1.638278647,222.46726525,3.644636926,18.556847765714874,18.556847765714874,1,323,5993.861828325905
J01-9224-2 (J01P25),0.06698727,5787.7001279999995,1132.7039999999997,0.097083,LAGUNA NIGUEL,1,Yes,LAGUNA NIGUEL,98.36172091,222.46726525,218.822824,1114.1471472164062,1114.1471472164062,1,323,359869.5285508992
J03-9216-1 (J03P01),0.00889893,768.8675519999999,1114.3008,0.012897,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,13.41168034,13.41169219,1114.3008,1114.3008,1,323,359919.1584
J03-9234-5,0.00929775,803.3256000000001,1164.24,0.013475000000000001,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,131.49969178,131.499808,1164.24,1164.24,0.885,323,332803.8252
J03-9368-2 (J03TBN2),0.01691121,1461.1285439999997,275.83329599999996,0.024509,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,34.23122305,34.23125331,275.83329599999996,275.83329599999996,1,323,89094.15460799998
J07-9022-1,7.686599999999999e-4,66.412224,45.963936000000004,0.001114,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,82.52382766,82.52390061,45.963936000000004,45.963936000000004,0.75,309,10652.142168
K01-12036-5,0.03274809,2829.434976,4067.89776,0.047461,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,28.07626103,28.07628585,4067.8977599999994,4067.8977599999994,0.77,323,1011726.8518895999
K01-12155-5,0.039590129999999994,3420.587232,4957.3728,0.057377,LAGUNA NIGUEL,NA,Unknown,LAGUNA NIGUEL,100,147.04555016,147.0456802,4957.3728,4957.3728,0.77,323,1232948.189088
K01-12156-6,0.29718851999999996,25677.088127999996,23607.935999999998,0.430708,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,NA,NA,23607.935999999998,23607.935999999998,1,319,7530931.583999999
L01-125-3,0.02359869,2038.9268160000001,2954.9664,0.034201,RANCHO SANTA MARGARITA,NA,Yes,ORANGE CO,1.064651459,69.26665813,0.737449138,31.46009289055978,31.46009289055978,0.77,304,7364.178543822233
L01-125-3,0.02359869,2038.9268160000001,2954.9664,0.034201,RANCHO SANTA MARGARITA,NA,Yes,RANCHO SANTA MARGARITA,98.93535016,69.26665813,68.52927134,2923.506354950346,2923.506354950346,0.77,304,684334.367566777
L01-728-2,0.0011950799999999998,103.25491199999998,149.6448,0.001732,DANA POINT,NA,Yes,DANA POINT,100.000001,95.97299313,95.97307889,149.644801496448,149.644801496448,0.5,319,23868.345838683457
L01-728-3 (L01S02),0.30228486,26117.411903999993,1013.472,0.438094,DANA POINT,NA,Yes,DANA POINT,8.724176507,1014.01862168,88.46485258,88.41708612902303,88.41708612902303,0.5,319,14102.525237579173
L01-728-3 (L01S02),0.30228486,26117.411903999993,1013.472,0.438094,DANA POINT,NA,Yes,SAN CLEMENTE,0.203472958,1014.01862168,2.063255511,2.06214145690176,2.06214145690176,0.5,319,328.9115623758307
L01-728-3 (L01S02),0.30228486,26117.411903999993,1013.472,0.438094,DANA POINT,NA,Yes,SAN JUAN CAPISTRANO,91.07235047,1014.01862168,923.4914094,922.9927717553184,922.9927717553184,0.5,319,147217.3470949733
L01-749-2d,0.05640888,4873.727232,4769.28,0.081752,SAN JUAN CAPISTRANO,NA,Yes,SAN JUAN CAPISTRANO,100,NA,NA,4769.28,4769.28,0.77,313,1149444.1728
L01-760-2,0.04998222,4318.463808,2246.807808,0.072438,ORANGE CO,NA,Yes,ORANGE CO,100,32.57431395,32.57434275,2246.807808,2246.807808,0.77,304,525932.7716966401
L01-766-7,5.927099999999999e-4,51.210143999999985,7.809696000000001,8.59e-4,SAN JUAN CAPISTRANO,NA,Unknown,SAN JUAN CAPISTRANO,100,56.73310957,56.73315973,7.809696,7.809696,0,313,0
L02-198-1 (L02P29),0.005761499999999999,497.79359999999986,715.3919999999999,0.00835,RANCHO SANTA MARGARITA,NA,Yes,RANCHO SANTA MARGARITA,100,NA,NA,715.3919999999999,715.3919999999999,0.25,304,54369.791999999994
L02-374-1 (L02P50),0.13307133,11497.362912,11336.399711999999,0.192857,ORANGE CO,1,Yes,ORANGE CO,100,456.48197184000003,456.4823754,11336.399711999999,11336.399711999999,0.77,323,2819475.9723715195
L02-374-2 (MVL02P20),0.00595056,514.128384,596.16,0.008624,ORANGE CO,NA,Yes,MISSION VIEJO,100,84.33765496,84.33772952,596.16,596.16,0.77,323,148270.9536
L02-541-6,0.0014427899999999998,124.65705599999998,180.6624,0.002091,SAN JUAN CAPISTRANO,NA,Yes,SAN JUAN CAPISTRANO,100,17.62492719,17.62494277,180.6624,180.6624,1,313,56547.3312
L02-622-1 (L02P28),0.009833189999999999,849.5876159999998,1231.2864,0.014251,RANCHO SANTA MARGARITA,NA,Unknown,RANCHO SANTA MARGARITA,100,256.93195174,256.9321789,1231.2864,1231.2864,0.77,304,288219.520512
L02-641-1,0.03796587,3280.251168,2790.0288,0.055023,RANCHO SANTA MARGARITA,1,Yes,ORANGE CO,0.587888306,926.34500026,5.44587874,16.402253049232126,16.402253049232126,1,304,4986.284926966567
L02-641-1,0.03796587,3280.251168,2790.0288,0.055023,RANCHO SANTA MARGARITA,1,Yes,RANCHO SANTA MARGARITA,99.41211166,926.34500026,920.8999402,2773.6265460021577,2773.6265460021577,1,304,843182.469984656
L03-074-1 (L03B01),0.14138859,12215.974176000002,1251.9359999999997,0.204911,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,303.10956645,303.1098344,1251.9359999999997,1251.9359999999997,1,304,380588.5439999999
L03-241-4,0.00668196,577.321344,1257.3610559999997,0.009684,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,209.49721786,NA,1257.3610559999997,1257.3610559999997,1,309,388524.5663039999
L03-316-2,0.00902658,779.8965119999998,119.232,0.013082,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,143.04145576,143.0415822,119.23200000000001,119.23200000000001,0.6666666666666666,309,24561.792
L03-316-4,0.01591416,1374.983424,0,0.023064,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,44.10840687,NA,0,0,0.75,309,0
L03-418-2,0.005453759999999999,471.20486399999993,1033.324128,0.007904,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,NA,NA,1033.324128,1033.324128,0.5,323,166881.84667199999
L03-662-3 (L03P16),0.10237805999999999,8845.464383999999,1669.248,0.148374,MISSION VIEJO,1,Yes,MISSION VIEJO,100,436.64832448,436.6487105,1669.2480000000003,1669.2480000000003,0.5,309,257898.81600000005
L04-266-5,0.32193399,27815.096736,12945.077856,0.466571,MISSION VIEJO,1,Yes,MISSION VIEJO,100,577.85257612,577.853087,12945.077856,12945.077856,1,309,4000029.057504
L05-489-3,0.55455645,47913.677279999996,91470.825936,0.803705,ORANGE CO,1,Yes,ORANGE CO,100,1832.47249969,1832.47412,91470.825936,91470.825936,1,323,29545076.777328
LC06-11509-2,0.010634969999999999,918.861408,628.710336,0.015413,LAGUNA BEACH,NA,Yes,LAGUNA BEACH,63.38208068,51.8633,32.87206771,398.4896924070191,398.4896924070191,0.5,318,63359.86109271604
LC06-11509-2,0.010634969999999999,918.861408,628.710336,0.015413,LAGUNA BEACH,NA,Yes,ORANGE CO,36.61792026,51.8633,18.99127863,230.22064950285807,230.22064950285807,0.5,318,36605.083270954434
M02-052-2,0.46280162999999996,39986.060831999996,21963.42864,0.670727,SAN CLEMENTE,NA,Yes,ORANGE CO,5.965513916,3106.39477221,185.3125762,1310.2313919499293,1310.2313919499293,1,313,410102.42568032787
M02-052-2,0.46280162999999996,39986.060831999996,21963.42864,0.670727,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,94.0344861,3106.39477221,2921.084943,20653.197251564216,20653.197251564216,1,313,6464450.7397396
M02-052-4,0.03164133,2733.810912,357.69599999999997,0.045857,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,118.71835525,118.7184602,357.69599999999997,357.69599999999997,1,313,111958.84799999998
M02-061-4 (SCBS@M02),0.00993324,858.2319359999999,423.094752,0.014396,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,90.38163929,90.38171919,423.094752,423.094752,1,313,132428.65737600002
M02-061-6,0.00733815,634.01616,918.864,0.010635,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,40.9633321,40.96336831,918.864,918.864,1,313,287604.43200000003
M02-061-7,0.345,29808,43200,0.5,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,NA,NA,43200,43200,0,313,0
SC05-073-3,0.00209277,180.815328,262.0512,0.003033,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,30.16696063,30.16698731,262.0512,262.0512,0.75,313,61516.519199999995
SC06-146-2 (M00P02),0.03903882,3372.9540479999996,4471.200000000001,0.056578,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,99.99837363,325.80676057,325.8017498,4471.127281744561,4471.127281744561,1,313,1399462.8391860474
SC07-079-5,0.0024012,207.46368,858.4703999999999,0.00348,SAN CLEMENTE,NA,Yes,SAN CLEMENTE,100,29.94605554,29.94608202,858.4703999999999,858.4703999999999,0.75,313,201525.9264
SM01-086-2,0.0138,1192.32,1728,0.02,SAN CLEMENTE,NA,Unknown,SAN CLEMENTE,100,NA,NA,1728,1728,0.77,313,416465.28
L03-074-2,0.01398492,1208.297088,505.5436799999999,0.020268,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,NA,NA,505.5436799999999,505.5436799999999,0.77,309,120284.00778239997
L03-172-2,0.00917079,792.3562559999999,649.3076639999999,0.013291,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,46.50852925,46.50857036,649.3076639999999,649.3076639999999,0.77,304,151989.93798912
L04-301-1 (L04P08),0.024127919999999997,2084.652288,3021.2352,0.034968,MISSION VIEJO,NA,Yes,MISSION VIEJO,100,191.83607914,191.8362487,3021.2352,3021.2352,0.77,309,718842.491136
M02-086-1,2.5599e-4,22.117535999999998,0,3.71e-4,SAN CLEMENTE,NA,Unknown,SAN CLEMENTE,100,50.74833146,50.74837632,0,0,0.385,313,0
SC11-130-2,0.00958065,827.7681599999999,1199.664,0.013885,DANA POINT,NA,Unknown,DANA POINT,100,NA,NA,1199.664,1199.664,0.635,313,238439.21831999999
DP01-12022-2,NA,NA,0,0,DANA POINT,NA,Unknown,DANA POINT,100,NA,NA,0,0,0,319,0
DP06-12106-1,NA,NA,5365.44,0.227,DANA POINT,NA,Yes,DANA POINT,100,66.54528569,66.54534452,5365.44,5365.44,0.25,319,427893.83999999997
I00-11453-1,NA,NA,0,0.013896,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,342.08954194,342.0898444,0,0,0,318,0
I00-11468-1,NA,NA,729.193104,0.039855,LAGUNA BEACH,1,Yes,LAGUNA BEACH,91.76756832,223.33679991,204.9509316,669.1627798979285,669.1627798979285,1,318,212793.76400754126
I00-11468-1,NA,NA,729.193104,0.039855,LAGUNA BEACH,1,Yes,ORANGE CO,8.232432026,223.33679991,18.3860665,60.03032662507948,60.03032662507948,1,318,19089.643866775274
I00-11518-1,NA,NA,0,0.079534,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,96.690419790000007,645.16066542,623.8091072,0,0,0,318,0
I00-11518-1,NA,NA,0,0.079534,LAGUNA BEACH,NA,Unknown,ORANGE CO,3.309580209,645.16066542,21.35212857,0,0,0,318,0
I01-11010-1,NA,NA,638.099856,0.03819,LAGUNA BEACH,1,Yes,LAGUNA BEACH,100,12.1490758,12.14908654,638.099856,638.099856,1,318,202915.75420800003
I01-11015-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,9.814813201,245.37795985,24.08340969,0,0,0,318,0
I01-11015-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,90.18518695,245.37795985,221.2947674,0,0,0,318,0
I01-11015-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA,0,0,0,318,0
I01-11023-2,NA,NA,0,2.04e-4,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,16.81555601,16.81557088,0,0,0,318,0
I01-11023-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,2.021964214,36.18156164,0.731578875,0,0,0,318,0
I01-11023-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,97.97803498,36.18156164,35.45001446,0,0,0,318,0
I01-11023-4,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,99.99999471,6.44034236,6.44034771,0,0,0,318,0
I01-11023-5,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,8.451122386,12.44670623,1.051887306,0,0,0,318,0
I01-11023-5,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,91.54887409,12.44670623,11.39482948,0,0,0,318,0
I01-11059-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,99.99999976,282.44365092,282.4438999,0,0,0,318,0
I01-11059-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,9.28778099,9.287789205,0,0,0,318,0
I01-11059-3,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA,0,0,0,318,0
I01-11065-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA,0,0,0,318,0
I01-11077-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,92.37171423,118.05411389,109.0487051,0,0,0,318,0
I01-11077-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,7.628285715,118.05411389,9.005513067,0,0,0,318,0
I01-11077-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,100,NA,NA,0,0,0,318,0
I01-11093-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,15.10734659,87.63278849,13.23900078,0,0,0,318,0
I01-11093-1,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,84.89265355,87.63278849,74.3938653,0,0,0,318,0
I01-11093-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,LAGUNA BEACH,1.070402039,296.78090067,3.176751622,0,0,0,318,0
I01-11093-2,NA,NA,0,0,LAGUNA BEACH,NA,Unknown,ORANGE CO,98.92959796,296.78090067,293.6044114,0,0,0,318,0
I01-11217-1,NA,NA,0,0.001777,ALISO VIEJO,NA,Unknown,ALISO VIEJO,100,35.66443538,35.66446691,0,0,0,309,0
I01-11343-2 (I02P18),NA,NA,113.09155199999998,0.007519,LAGUNA WOODS,1,Yes,LAGUNA WOODS,98.79491313,46.81104081,46.24696799,111.72870055576875,111.72870055576875,0.77,309,26583.60972323406
J01-10004-1 (J01P01),NA,NA,6825.454632,0.31136,LAKE FOREST,1,Yes,LAKE FOREST,97.22901103,479.88775953,466.5905351,6636.322036994925,6636.322036994925,1,309,2050623.5094314318
J01-10017-1 (J01TBN4),NA,NA,192.646134,0.015398,ALISO VIEJO,NA,Yes,ALISO VIEJO,100,17.42256719,17.42258259,192.646134,192.646134,0.5,323,31112.350640999997
J01-10019-1 (J01P33),NA,NA,899.0705700000001,0.007265,ALISO VIEJO,NA,Yes,ALISO VIEJO,100,72.93906351,72.93912799,899.0705700000002,899.0705700000002,0.885,323,257003.81778735007
J01-9005-1 (J03P05),NA,NA,3320.135892,0.033498,LAGUNA NIGUEL,NA,Yes,LAGUNA NIGUEL,100,127.79044152,127.7905545,3320.135892,3320.135892,1,323,1072403.8931159999
J01-9007-1 (J02P05),NA,NA,2773.4399999999996,0.11084,ALISO VIEJO,1,Yes,ALISO VIEJO,98.19424307,145.61257767,142.9832949,2723.3584150006077,2723.3584150006077,0.77,323,677326.4713948012
J01-9007-1 (J02P05),NA,NA,2773.4399999999996,0.11084,ALISO VIEJO,1,Yes,ORANGE CO,1.805757306,145.61257767,2.629412085,50.08159542752639,50.08159542752639,0.77,323,12455.793598780088
J01-9008-1 (J01P30),NA,NA,3073.243356,0.0542,ALISO VIEJO,NA,Yes,ALISO VIEJO,100,211.57209037,211.5722774,3073.243356,3073.243356,1,323,992657.603988
J01-9040-1,NA,NA,40215.314159999994,0.449715,LAKE FOREST,NA,Yes,LAKE FOREST,99.97855453,146.1265793,146.0953709,40206.689796866405,40206.689796866405,0.8,291,9360117.3847105
J01-9040-1,NA,NA,40215.314159999994,0.449715,LAKE FOREST,NA,Yes,ORANGE CO,0.021445596,146.1265793,0.031337744,8.624413804884393,8.624413804884393,0.8,291,2007.7635337770866
J01-9046-1,NA,NA,208.6128,0.00512,LAKE FOREST,NA,Unknown,LAKE FOREST,100,65.72077069,65.72082879,208.6128,208.6128,0.6666666666666666,309,42974.2368
J01-9046-2,NA,NA,319.613364,0.107098,LAKE FOREST,NA,Unknown,LAKE FOREST,99.38641043,46.36377902,46.07933644,317.65224973416986,317.65224973416986,1,309,98154.54516785848
J01-9046-2,NA,NA,319.613364,0.107098,LAKE FOREST,NA,Unknown,MISSION VIEJO,0.613590663,46.36377902,0.284484071,1.961117759204203,1.961117759204203,1,309,605.9853875940987
J01-9066-1 (J01P04),NA,NA,136.975968,0.014702,MISSION VIEJO,NA,Yes,LAKE FOREST,2.845060742,82.12170635,2.336414493,3.897049491542482,3.897049491542482,1,309,1204.1882928866269
J01-9066-1 (J01P04),NA,NA,136.975968,0.014702,MISSION VIEJO,NA,Yes,MISSION VIEJO,97.15493782,82.12170635,79.78536327,133.0789165387431,133.0789165387431,1,309,41121.38521047162
J01-9082-2,NA,NA,3159.7872119999997,0.143136,ALISO VIEJO,1,Yes,ALISO VIEJO,97.84740395,124.66076066,121.9774259,3091.7697572860825,3091.7697572860825,1,323,998641.6316034046
J01-9082-2,NA,NA,3159.7872119999997,0.143136,ALISO VIEJO,1,Yes,ORANGE CO,2.152595119,124.66076066,2.683443822,68.01742529629817,68.01742529629817,1,323,21969.628370704308
J01-9082-3,NA,NA,43.199999999999996,0.005369,ALISO VIEJO,NA,Unknown,ALISO VIEJO,97.84740395,124.66076066,121.9774259,42.2700785064,42.2700785064,0,323,0
J01-9082-3,NA,NA,43.199999999999996,0.005369,ALISO VIEJO,NA,Unknown,ORANGE CO,2.152595119,124.66076066,2.683443822,0.9299210914079998,0.9299210914079998,0,323,0
J01-9082-4,NA,NA,988.2863999999998,0.020881,ALISO VIEJO,NA,Yes,ALISO VIEJO,97.84740395,124.66076066,121.9774259,967.0125859909126,967.0125859909126,1,323,312345.0652750648
J01-9082-4,NA,NA,988.2863999999998,0.020881,ALISO VIEJO,NA,Yes,ORANGE CO,2.152595119,124.66076066,2.683443822,21.273804808140813,21.273804808140813,1,323,6871.438953029483
J01-9131-1 (J01P28),NA,NA,1098.5759999999998,0.068157,ALISO VIEJO,1,Unknown,ALISO VIEJO,100,286.38606854,286.3863217,1098.5759999999998,1098.5759999999998,0.6666666666666666,323,236560.03199999995
J01-9144-1 (J01P23),NA,NA,225.57582,0.018688,LAGUNA NIGUEL,NA,Yes,ALISO VIEJO,100,175.4581519,175.458307,225.57582,225.57582,1,323,72860.98986
J01-9224-1 (J01P24),NA,NA,528.1543439999999,0.024552,LAGUNA NIGUEL,1,Yes,ALISO VIEJO,1.638278647,222.46726525,3.644636926,8.652639840954924,8.652639840954924,0.9425,323,2634.1015151823053
J01-9224-1 (J01P24),NA,NA,528.1543439999999,0.024552,LAGUNA NIGUEL,1,Yes,LAGUNA NIGUEL,98.36172091,222.46726525,218.822824,519.5017018193213,519.5017018193213,0.9425,323,158150.60433060143
J01-9259-3,NA,NA,798.6159360000001,0.00601,LAKE FOREST,NA,Yes,LAKE FOREST,99.99231896,140.75505759,140.7443706,798.5545939905096,798.5545939905096,0,309,0
J01-9275-2,NA,NA,0,0,LAKE FOREST,NA,Unknown,LAKE FOREST,95.02628824,42.7322098,40.60686876,0,0,0,309,0
J01-9275-2,NA,NA,0,0,LAKE FOREST,NA,Unknown,MISSION VIEJO,4.973711762,42.7322098,2.1253788240000002,0,0,0,309,0
J01-9349-1,NA,NA,0,0.00615,LAKE FOREST,1,Unknown,LAKE FOREST,99.85177608,69.7067491,69.60348856,0,0,0.6666666666666666,309,0
J01-9349-1,NA,NA,0,0.00615,LAKE FOREST,1,Unknown,MISSION VIEJO,0.14822366,69.7067491,0.103321986,0,0,0.6666666666666666,309,0
J01-9364-4,NA,NA,0,0,ORANGE CO,NA,Unknown,ALISO VIEJO,98.79141639,42.33257611,41.82098851,0,0,0,323,0
J01-9364-4,NA,NA,0,0,ORANGE CO,NA,Unknown,ORANGE CO,1.208582942,42.33257611,0.511624746,0,0,0,323,0
J01-9377-1,NA,NA,317.304,0.001959,LAKE FOREST,1,Unknown,LAKE FOREST,98.07444602,34.4468196,33.78355736,311.19414019930076,311.19414019930076,0.6666666666666666,309,64105.99288105596
J01-9377-1,NA,NA,317.304,0.001959,LAKE FOREST,1,Unknown,MISSION VIEJO,1.925552671,34.4468196,0.663292241,6.109855647189839,6.109855647189839,0.6666666666666666,309,1258.630263321107
J01-9377-2 (J01TBN8),NA,NA,0,4.2e-5,LAKE FOREST,NA,Unknown,LAKE FOREST,67.39420978,98.41839547,66.32835854,0,0,0,309,0
J01-9377-2 (J01TBN8),NA,NA,0,4.2e-5,LAKE FOREST,NA,Unknown,MISSION VIEJO,32.60579025,98.41839547,32.09012396,0,0,0,309,0
